Time,E_EW (V/km),E_NS (V/km)
73390,0.71986671,-0.371826881
73400,0.559682932,-0.244361221
73410,0.441488373,-0.09071415
73420,0.414286053,-0.164968346
73430,0.49808216,-0.299080064
73440,0.50063928,-0.135667574
73450,0.331175057,0.181697395
73460,0.448533907,0.361553456
73470,0.411198807,0.447894915
73480,0.714571407,0.510391037
73490,0.622641254,0.600197081
73500,0.553835899,0.577531586
73510,0.670037858,0.518042387
73520,0.648778485,0.448471156
73530,0.68919015,0.348693932
73540,0.656241701,0.397067751
73550,0.679490251,0.200244342
73560,0.61162878,0.070601524
73570,0.378994353,0.118639864
73580,0.149979987,0.123944281
73590,0.287077494,0.247186598
73600,0.548950052,0.441948146
73610,0.506480539,0.57561773
73620,0.438834407,0.621915619
73630,0.732003127,0.498294349
73640,0.855102573,0.558101495
73650,0.673839996,0.266917975
73660,0.436455751,0.213761545
73670,0.341861295,0.244093527
73680,-0.033043408,0.025250711
73690,-0.618791647,-0.096824529
73700,0.638139689,-0.833261198
73710,2.464082812,-0.610398877
73720,1.541397459,-0.215125292
73730,1.670904458,-0.437277333
73740,1.308642748,0.29827381
73750,0.885527657,0.546560838
73760,0.953629001,0.204971465
73770,1.049712066,0.065289465
73780,0.98048957,0.116284389
73790,-0.19680415,0.52620999
73800,-1.020407822,0.667336861
73810,-0.671961138,0.816326284
73820,0.759014318,0.424472156
73830,1.472309993,-0.244131592
73840,-0.325923982,-0.581621973
73850,-3.14376775,0.132945911
73860,-2.238207934,0.344197247
73870,-1.15230842,0.471825657
73880,-0.031965829,0.642837527
73890,-0.049701439,0.899445431
73900,-0.360822252,0.937044656
73910,-0.442871495,1.058851582
73920,-1.004943089,0.808700421
73930,-1.33754217,0.677203255
73940,-0.693442025,0.705741815
73950,-0.559929231,0.775212558
73960,-0.446361109,0.881695426
73970,0.025133319,0.882979004
73980,-0.6386464,0.816690513
73990,-0.979385121,0.812360379
74000,-0.402789738,0.745450939
74010,0.36614414,0.884247648
74020,-0.014151865,0.834636606
74030,-0.12913288,0.751653913
74040,-0.649743508,0.763355602
74050,-1.358719258,0.186778408
74060,-1.281273828,0.185188857
74070,-0.976374208,-0.071249773
74080,-0.529353645,-0.317746797
74090,-0.54989629,-0.262459796
74100,-0.838535231,-0.151098137
74110,-1.078205126,-0.113524995
74120,-1.094792128,-0.239946338
74130,-0.821116339,-0.251566197
74140,-0.485049731,-0.302830413
74150,-0.227678143,-0.471014438
74160,-0.253038675,-0.601571618
74170,0.45704029,-0.304596445
74180,0.794670159,-0.277202189
74190,0.994485556,-0.142974417
74200,0.661311322,-0.025059251
74210,0.260868362,-0.187830598
74220,0.177954856,-0.114725763
74230,-0.182727926,-0.428680817
74240,-0.433612785,-0.739635854
74250,-0.28926722,-0.66292872
74260,0.221998657,-0.772281303
74270,0.62672486,-0.721520357
74280,0.376371839,-0.645513757
74290,-0.120950149,-0.532763736
74300,-0.352303459,-0.590469612
